,Centro_de_Alto_Rendimiento_CO_pmm
660,0.08283
661,0.43712
662,0.65073
663,0.64986
664,0.45898
665,0.23472
666,0.18169
667,0.24844
668,0.63156
669,0.44122
670,0.72903
671,0.73793
672,0.90047
673,0.85436
674,0.77491
675,0.56586
676,0.65475
677,0.91018
678,2.27035
679,2.64334
680,2.18474
681,2.31476
682,1.30727
683,0.2996
684,0.56954
685,0.80947
686,0.90636
687,0.93063
688,0.9768
689,1.0126
690,0.7467
691,0.60431
692,0.48806
693,0.30281
694,0.70862
695,0.52403
696,0.74426
697,0.59221
698,0.72373
699,0.68143
700,0.51114
701,0.77888
702,1.24181
703,1.8984
704,1.20378
705,1.50734
706,1.42173
707,0.81308
708,0.25253
709,0.38266
710,0.82809
711,0.64718
712,0.45288
713,0.39695
714,0.79833
715,1.03168
716,1.06598
717,1.0607
718,1.52494
719,1.29036
720,0.87626
721,0.90534
722,1.07065
723,0.69472
724,0.81046
725,1.04996
726,1.26767
727,1.64578
728,2.17506
729,1.75054
730,1.30155
731,0.26082
732,0.23012
733,0.42774
734,0.59383
735,0.70899
736,0.70591
737,0.55996
738,0.48387
739,0.52312
740,0.77534
741,1.88425
742,2.03113
743,1.48477
744,1.17874
745,1.18065
746,1.12329
747,0.84637
748,0.91777
749,1.61355
750,2.16386
751,1.83332
752,1.5525
753,0.83766
754,1.03937
755,1.46678
756,1.46441
757,1.26359
758,1.07162
759,0.94316
760,0.8518
761,0.69837
762,0.53446
763,0.50159
764,0.5922
765,0.88931
766,1.42162
767,0.90747
768,0.33342
769,0.49896
770,0.5778
771,0.55643
772,0.5061
773,0.39812
774,1.55552
775,2.00263
776,1.42445
777,0.68811
778,0.73942
779,0.74874
780,0.7455
781,0.83187
782,0.78549
783,0.62748
784,0.40416
785,0.47929
786,0.59579
787,0.69425
788,0.85036
789,0.64243
790,0.64454
791,1.13859
792,1.21394
793,0.83284
794,0.92043
795,0.9799
796,0.93366
797,1.00255
798,0.91399
799,1.10575
800,1.57961
801,2.15957
802,0.7827
803,0.44547
804,0.92146
805,0.90509
806,0.83165
807,0.55321
808,0.42952
809,0.46044
810,0.50562
811,0.64127
812,0.77846
813,0.45389
814,0.44875
815,0.4493
816,0.32491
817,0.28689
818,0.42783
819,0.36253
820,0.28167
821,0.24952
822,0.34565
823,0.60339
824,0.7474
825,0.59929
826,0.50849
827,0.52455
828,0.438
829,0.42563
830,0.61045
831,0.7096
832,0.74446
833,0.57077
834,0.40694
835,0.47154
836,0.64633
837,0.47565
838,0.46807
839,0.59005
840,0.4405
841,0.26762
842,0.23219
843,0.21084
844,0.19518
845,0.35871
846,1.16694
847,2.39046
848,1.46774
849,1.74508
850,2.1577
851,0.718725
852,0.84343
853,0.27595
854,0.55157
855,0.40574
856,0.17672
857,0.04199
858,0.82083
859,0.8166100000000001
860,0.55991
861,0.5088
862,0.62856
863,0.56322
864,0.40278
865,0.40966
866,0.13659
867,0.1745
868,0.20511
869,0.31145
870,0.94464
871,1.08272
872,1.55239
873,1.0129
874,0.40136
875,0.54864
876,0.99463
877,1.01752
878,1.01846
879,0.94327
880,0.77119
881,0.63642
882,0.48432
883,0.94812
884,0.66141
885,0.52046
886,0.77315
887,0.65405
888,0.52495
889,0.49632
890,0.38958
891,0.33398
892,0.30777
893,0.41205
894,0.93621
895,1.01283
896,1.01212
897,0.89612
898,0.55394
899,0.55316
900,0.56306
901,0.77222
902,0.93616
903,0.97349
904,0.93656
905,0.85075
906,0.8313
907,0.83574
908,0.66235
909,0.54347
910,0.58839
911,0.42353
912,0.35122
913,0.44645
914,0.53325
915,0.41008
916,0.41824
917,0.95858
918,1.71989
919,2.08441
920,2.00807
921,0.99278
922,0.47369
923,0.40559
924,0.50476
925,0.63203
926,0.81062
927,0.75176
928,0.70851
929,0.73837
930,0.72818
931,0.76753
932,0.70881
933,0.57042
934,0.47247
935,0.32496
936,0.28935
937,0.24114
938,0.28574
939,0.25594
940,0.26682
941,0.32917
942,0.51562
943,0.5842
944,0.37931
945,0.36476
946,0.41087
947,0.43782
948,0.39747
949,0.46686
950,0.31289
951,0.50451
952,0.52189
953,0.52922
954,0.48148
955,0.46387
956,0.48141
957,0.49885
958,0.43076
959,0.52324
960,0.49924
961,0.39537
962,0.34904
963,0.28935
964,0.24946
965,0.25231
966,0.42966
967,0.69174
968,0.77476
969,0.55014
970,0.28245
971,0.28853
972,0.42534
973,0.48346
974,0.45565
975,0.49399
976,0.3097
977,0.34081
978,0.37227
979,0.34805
980,0.31395
981,0.88083
982,0.91085
983,1.56872
984,1.01389
985,1.09331
986,0.75171
987,0.6202
988,0.70829
989,0.74502
990,1.087
991,0.75078
992,0.50544
993,0.25953
994,0.28618
995,0.34999
996,0.48551
997,0.65389
998,0.43948
999,0.3875
1000,0.45287
1001,0.38576
1002,0.39421
1003,0.59962
1004,0.66688
1005,0.73842
1006,0.64675
1007,0.31891
1008,0.25324
1009,0.2327
1010,0.24566
1011,0.35136
1012,0.3881
1013,0.38746
1014,1.10677
1015,1.26139
1016,0.781
1017,0.32921
1018,0.32195
1019,0.56272
1020,0.69788
1021,0.67188
1022,0.55395
1023,0.62062
1024,0.65699
1025,0.60379
1026,0.64019
1027,0.66134
1028,0.77249
1029,0.72138
1030,0.80039
1031,1.33644
1032,1.17489
1033,0.89542
1034,0.72099
1035,0.69258
1036,0.65389
1037,0.78176
1038,1.77404
1039,2.46682
1040,1.71648
1041,0.98364
1042,0.67866
1043,0.59742
1044,0.56182
1045,0.5045
1046,0.50305
1047,0.38759
1048,0.40088
1049,0.55708
1050,0.80331
1051,0.72239
1052,0.62756
1053,0.66325
1054,1.07764
1055,0.88519
1056,0.34872
1057,0.33158
1058,0.3262
1059,0.28704
1060,0.34334
1061,0.49155
1062,0.97169
1063,0.99832
1064,1.11249
1065,1.04135
1066,0.94088
1067,0.59857
1068,0.48953
1069,0.49689
1070,0.56193
1071,0.59602
1072,0.52381
1073,0.46224
1074,0.83767
1075,0.94627
1076,0.94236
1077,1.0498
1078,0.95142
1079,0.54907
1080,0.42862
1081,0.33584
1082,0.31212
1083,0.3017
1084,0.35886
1085,0.63577
1086,1.11653
1087,1.26707
1088,1.11993
1089,0.41392
1090,0.2724
1091,0.41762
1092,0.43609
1093,0.44139
1094,0.43532
1095,0.49632
1096,0.55881
1097,0.68984
1098,0.8855
1099,0.95314
1100,0.78721
1101,0.50497
1102,0.47403
1103,0.8329
1104,0.75632
1105,0.27218
1106,0.32469
1107,0.47197
1108,0.40975
1109,0.55654
1110,1.38636
1111,1.87216
1112,1.0162
1113,0.76614
1114,0.29097
1115,0.48256
1116,0.54341
1117,0.66947
1118,0.5596
1119,0.298415
1120,1.04541
1121,0.88797
1122,1.17202
1123,0.94463
1124,0.79734
1125,0.94086
1126,0.9312
1127,0.80054
1128,0.66482
1129,0.28456
1130,0.28246
1131,0.23108
1132,0.23278
1133,0.22606
1134,0.29923
1135,0.37475
1136,0.29747
1137,0.20828
1138,0.232
