carvajal21,centro21,kennedy21,ferias21,puentea21,tunal21,usaquen21
0.83841,0.1876,0.6932,0.0889,0.4827,0.4882,0.3734
1.11331,0.2074,0.8427,0.1699,0.5263,0.541,0.3778
1.42325,0.1927,0.7841,0.1379,0.5249,0.5579,0.3675
1.34649,0.1812,0.6731,0.1261,0.4677,0.5311,0.3841
1.45168,0.1842,0.5744,0.0832,0.4273,0.4616,0.336
1.84082,0.1914,0.5918,0.1735,0.4197,0.4423,0.3273
1.4895,0.1686,0.5439,0.0876,0.3963,0.3972,0.3291
1.09561,0.1571,0.4953,0.0793,0.3871,0.3627,0.2987
0.88769,0.0635,0.4574,0.0474,0.4004,0.3702,0.286
0.93359,0.0667,0.5545,0.0523,0.3752,0.3649,0.2957
0.75517,0.0655,0.5551,0.054,0.3756,0.3727,0.291
0.84633,0.0818,0.7039,0.0741,0.4118,0.3709,0.297
1.11167,0.0801,1.0649,0.082,0.4264,0.4164,0.3153
1.80887,0.1637,1.8441,0.1575,0.739,0.5595,0.4105
2.08295,0.2819,1.8064,0.4693,0.9975,0.5583,0.3842
1.7111,0.2119,1.3099,0.1852,1.0963,0.4928,0.5008
1.54832,0.2041,0.8592,0.1819,0.7226,0.502,0.4362
1.32975,0.1606,0.8238,0.1798,0.6568,0.4299,0.3995
1.30352,0.1262,0.7545,0.1391,0.8544,0.5236,0.3222
1.19764,0.1242,0.7106,0.1259,0.6221,0.4849,0.4702
0.84477,0.1238,0.634,0.1183,0.6096,0.4883,0.51492
1.0038,0.1227,0.6408,0.1087,0.6727,0.6043,0.4205
1.0495,0.0984,0.7702,0.071,0.6009,0.6985,0.4786
1.09198,0.132,0.6485,0.0398,0.6052,0.6173,0.4957
1.02215,0.1433,0.7875,0.0706,0.7008,0.6597,0.5478
1.11979,0.2147,0.9326,0.093,0.8222,0.7553,0.5528
1.5811,0.3012,1.0701,0.2408,1.0153,0.7263,0.5269
1.88522,0.4541,1.1225,0.256,1.1544,0.6561,0.5297
1.69041,0.6486,1.0125,0.2937,0.9227,0.7677,0.6169
1.2017,0.5274,0.8166,0.2489,0.9822,0.6185,0.6158
1.10121,0.6473,0.7361,0.2618,0.932,0.5289,0.6155
0.92514,0.6149,0.7012,0.2515,0.7762,0.4134,0.5731
0.66709,0.4932,0.8058,0.2144,0.667,0.3581,0.3427
0.55859,0.404,0.8622,0.2791,0.5548,0.3479,0.6088
0.71334,0.3917,0.645,0.248,0.5534,0.3497,0.6061
0.73452,0.4161,0.7288,0.2172,0.5734,0.3427,0.5344
0.78148,0.3549,0.7875,0.2391,0.7009,0.5508,0.5078
1.05235,0.3877,1.192,0.3283,4.7838,0.7437,0.5302
2.37659,0.4657,1.6292,0.5182,5.9848,2.2249,0.9162
1.81758,0.6433,1.6799,0.6397,3.8303,2.4653,1.2429
1.26764,0.7702,1.2472,0.5782,4.9801,2.0848,1.0892
0.96531,0.53494,1.3291,0.3965,4.585,0.9377,0.5131
0.8484,0.3792,1.0336,0.2663,1.6215,0.4947,0.3405
0.90484,0.1721,0.6461,,1.3267,0.5083,0.2918
0.77579,0.1679,0.6382,0,0.8472,0.6793,0.2752
0.69911,0.1712,0.6365,0.0337,0.993,0.6842,0.293
0.88057,0.2064,0.6162,0.0665,0.8819,0.8197,0.272
0.93222,0.3324,0.6425,0.3876,0.7045,1.0066,0.3411
0.8561,0.3319,0.6381,0.4999,0.7432,1.0131,0.4862
1.01551,0.4685,0.7719,0.5561,1.0365,0.5912,0.3625
1.06884,0.5281,0.7897,0.6366,1.1339,0.6963,0.3215
1.39802,0.6331,0.9514,0.6971,1.4815,0.8052,0.3248
