,Kennedy_CO_pmm
957,0.94102
958,0.92396
959,0.61374
960,0.40628
961,0.41528
962,0.48669
963,0.59635
964,0.60245
965,0.83679
966,1.44333
967,1.58393
968,1.57202
969,0.55993
970,0.75538
971,0.31749
972,0.42382
973,0.43677
974,0.45186
975,0.48926
976,0.48395
977,0.48916
978,0.6073
979,0.82013
980,0.83537
981,0.82505
982,0.74768
983,0.63796
984,0.53482
985,0.45035
986,0.50865
987,0.48898
988,0.67862
989,0.92548
990,1.53526
991,2.12044
992,1.9073
993,1.22475
994,0.50068
995,0.44818
996,0.39797
997,0.40826
998,0.38627
999,0.575475
1000,0.39734
1001,0.50932
1002,0.68244
1003,0.91816
1004,0.97994
1005,1.1535
1006,1.005
1007,0.55721
1008,0.4608
1009,0.45992
1010,0.54007
1011,0.77559
1012,0.95365
1013,1.55486
1014,1.71676
1015,2.22177
1016,1.91194
1017,1.36348
1018,1.01819
1019,0.52286
1020,0.5461
1021,0.47743
1022,0.46887
1023,0.45342
1024,0.41957
1025,0.85487
1026,1.22346
1027,1.25238
1028,1.21223
1029,1.07495
1030,0.83009
1031,0.56134
1032,0.39797
1033,0.40085
1034,0.5204
1035,0.64514
1036,0.96108
1037,1.99349
1038,3.17873
1039,2.96318
1040,1.22386
1041,0.54302
1042,0.45599
1043,0.42951
1044,0.47061
1045,0.44024
1046,0.45088
1047,0.47594
1048,0.4574
1049,0.54322
1050,1.09882
1051,1.17815
1052,0.9682
1053,1.16787
1054,0.82436
1055,0.56869
1056,0.44662
1057,0.45737
1058,0.58433
1059,0.75781
1060,1.03785
1061,2.48211
1062,2.16162
1063,1.91408
1064,1.38694
1065,1.09735
1066,0.93767
1067,0.72642
1068,0.57876
1069,0.50281
1070,0.48754
1071,0.49329
1072,0.46974
1073,0.51809
1074,0.70505
1075,0.90434
1076,1.17488
1077,1.11101
1078,1.08487
1079,0.86617
1080,0.50875
1081,0.50579
1082,0.80478
1083,0.71979
1084,1.2583
1085,2.45202
1086,2.44352
1087,2.92115
1088,2.2011
1089,1.73919
1090,1.16832
1091,0.5234
1092,0.3886
1093,0.50437
1094,0.43301
1095,0.44495
1096,0.46504
1097,0.53809
1098,0.6827
1099,0.84398
1100,1.13507
1101,1.00578
1102,0.88857
1103,0.65005
1104,0.50949
1105,0.43363
1106,0.38236
1107,0.48664
1108,0.61918
1109,1.2744
1110,1.36757
1111,1.16523
1112,0.93879
1113,0.69083
1114,0.51859
1115,0.48855
1116,0.44434
1117,0.40429
1118,0.42829
1119,0.40526
1120,0.43673
1121,0.47594
1122,0.686
1123,0.83708
1124,0.81913
1125,0.84609
1126,0.75415
1127,0.6385
1128,0.35295
1129,0.41029
1130,0.47065
1131,0.51704
1132,0.64702
1133,0.74201
1134,0.92954
1135,0.75355
1136,0.53644
1137,0.52418
1138,0.51152
1139,0.43422
1140,0.42982
1141,0.44088
1142,0.42066
1143,0.40056
1144,0.44042
1145,0.48721
1146,0.56002
1147,0.61981
1148,0.66207
1149,0.83697
1150,0.7254
1151,0.61366
1152,0.49554
1153,0.43944
1154,0.39188
1155,0.42937
1156,0.48479
1157,0.72472
1158,0.84168
1159,0.79849
1160,1.11052
1161,0.66265
1162,0.64711
1163,0.70219
1164,0.42005
1165,0.39415
1166,0.37602
1167,0.35349
1168,0.3908
1169,0.44622
1170,0.51554
1171,0.62482
1172,1.10372
1173,0.82676
1174,0.87764
1175,0.68748
1176,0.37664
1177,0.35008
1178,0.51462
1179,0.52526
1180,0.65444
1181,1.32269
1182,1.20862
1183,1.06243
1184,0.81972
1185,0.76953
1186,0.64579
1187,0.49508
1188,0.46368
1189,0.46598
1190,0.45036
1191,0.45705
1192,0.50249
1193,0.61551
1194,0.62533
1195,0.57147
1196,0.72377
1197,1.0151
1198,0.8138
1199,0.77959
1200,0.59601
1201,0.58832
1202,0.51362
1203,0.44506
1204,0.52019
1205,0.96208
1206,2.00214
1207,1.28277
1208,1.04757
1209,0.75523
1210,0.55848
1211,0.65963
1212,0.5682
1213,0.65775
1214,0.52643
1215,0.60707
1216,0.69749
1217,0.94222
1218,1.20319
1219,1.1171
1220,0.97912
1221,1.10375
1222,1.13379
1223,0.71152
1224,0.58224
1225,0.70939
1226,0.59696
1227,0.52158
1228,0.7116
1229,1.0702
1230,1.36563
1231,1.65426
1232,0.89203
1233,0.66953
1234,0.62103
1235,0.52001
1236,0.61672
1237,0.61217
1238,0.59849
1239,0.64368
1240,0.69914
1241,1.08083
1242,1.19111
1243,1.23654
1244,1.14278
1245,0.85288
1246,0.75256
1247,0.63331
1248,0.52283
1249,0.5391
1250,0.48654
1251,0.59597
1252,0.70937
1253,1.47724
1254,2.54461
1255,3.14732
1256,0.80355
1257,0.5853
1258,0.54829
1259,0.57757
1260,0.61553
1261,0.55508
1262,0.52299
1263,0.51622
1264,0.46914
1265,0.63805
1266,1.02743
1267,0.90677
1268,0.80949
1269,0.93079
1270,0.82613
1271,0.6588
1272,0.55287
1273,0.51549
1274,0.59054
1275,0.72969
1276,1.11673
1277,1.3668
1278,2.04982
1279,1.68165
1280,0.89809
1281,0.75739
1282,0.49428
1283,0.43191
1284,0.57529
1285,0.5377
1286,0.54811
1287,0.61555
1288,1.1575
1289,1.20673
1290,2.11412
1291,1.23114
1292,1.02086
1293,0.89222
1294,1.07369
1295,0.8105
1296,0.53927
1297,0.54561
1298,0.50671
1299,0.53804
1300,0.70504
1301,0.83636
1302,0.65381
1303,0.67435
1304,1.14543
1305,0.87859
1306,0.46273
1307,0.38191
1308,0.55724
1309,0.52446
1310,0.48977
1311,0.53094
1312,0.59693
1313,0.7395
1314,0.74081
1315,0.71198
1316,0.68572
1317,0.56278
1318,0.4759
1319,0.4735
1320,0.5578
1321,0.51644
1322,0.44337
1323,0.49724
1324,0.67407
1325,1.20868
1326,1.86789
1327,1.75087
1328,1.09938
1329,0.89329
1330,0.67851
1331,0.69692
1332,0.73359
1333,0.49299
1334,0.45558
1335,0.51242
1336,0.43234
1337,0.9077
1338,1.09231
1339,0.96083
1340,0.93878
1341,0.90568
1342,0.86468
1343,0.53959
1344,0.38512
1345,0.37032
1346,0.46922
1347,0.52077
1348,0.75295
1349,0.92573
1350,1.33088
1351,2.24403
1352,1.31361
1353,0.88013
1354,0.67549
1355,0.52407
1356,0.74348
1357,0.82302
1358,0.78909
1359,0.7317
1360,0.67072
1361,0.87215
1362,0.93037
1363,0.98513
1364,0.97602
1365,0.86256
1366,0.86101
1367,0.68416
1368,0.44657
1369,0.40783
1370,0.44342
1371,0.4693
1372,0.65593
1373,1.09766
1374,1.88307
1375,1.65737
1376,1.09737
1377,0.74012
1378,0.88785
1379,0.6245799999999999
1380,0.6553
1381,0.52015
1382,0.50656
1383,0.47958
1384,0.62087
1385,0.81208
1386,0.96868
1387,1.01233
1388,0.88041
1389,1.0803
1390,0.8865
1391,0.60541
1392,0.43604
1393,0.34907
1394,0.35561
1395,0.47923
1396,0.6386
1397,0.97858
1398,1.34198
1399,1.37197
1400,0.90824
1401,0.59367
1402,0.5033
1403,0.50043
1404,0.48511
1405,0.57164
1406,0.55848
1407,0.55872
1408,0.67902
1409,0.84145
1410,0.95392
1411,1.03908
1412,0.91085
1413,0.92451
1414,1.0982
1415,0.86213
1416,0.44709
1417,0.65316
1418,0.60326
1419,0.56914
1420,0.70396
1421,1.04108
1422,1.58711
1423,1.24096
1424,1.02604
1425,0.61253
1426,0.61531
1427,0.61252
1428,0.44968
1429,0.43486
1430,0.41498
1431,0.39141
1432,0.70144
1433,0.60898
1434,1.08659
1435,1.85738
1436,1.3618
1437,1.33959
1438,1.32221
1439,1.37129
1440,0.68565
1441,0.60165
1442,0.67636
1443,1.09016
1444,1.01437
1445,1.06932
1446,1.46255
1447,1.12102
1448,0.67447
1449,0.5282
1450,0.43726
1451,1.00473
1452,1.23589
1453,1.07009
1454,0.78967
1455,0.74483
1456,0.67035
1457,0.51977
1458,0.59926
1459,0.77081
1460,0.95463
1461,1.20213
1462,1.5016
1463,0.79737
1464,0.55502
1465,0.34305
1466,0.32385
1467,0.39617
1468,0.37589
1469,0.36864
1470,0.44589
1471,0.40113
1472,0.39437
1473,0.39441
1474,0.59454
1475,0.79966
1476,0.59269
1477,0.68015
1478,0.67439
1479,0.699
1480,0.73147
1481,0.77222
1482,0.79461
1483,0.64145
