Carvajal19,Centro19,Kennedy19,Ferias19,PuenteA19,Tunal19,Usaquen19
0.99187,1.49637,0.60172,0.52246,0.8354,0.34078,0.66104
0.90047,1.18825,0.70176,0.46992,0.52276,0.36196,0.66439
0.91854,1.23094,0.61906,0.47078,0.55781,0.34166,0.60027
1.25945,1.24768,0.72867,0.60864,0.74319,0.4022,0.61673
2.34944,1.47886,1.35796,0.73068,1.54649,0.45611,0.5932
2.64947,1.77215,1.74428,0.72666,2.23005,0.71431,0.91601
3.27975,2.02613,2.07141,0.77461,2.04047,1.78068,1.07433
2.1842,1.27881,1.63349,0.86509,1.25618,2.25687,1.13825
1.60189,0.86536,1.19878,0.74607,1.14924,1.55673,0.93984
0.90975,0.93887,0.53561,0.48438,0.67381,0.36641,0.64509
0.99053,1.16237,0.43208,0.3775,0.37331,0.36053,0.34871
0.85484,1.26904,0.42313,0.23728,0.30474,0.33283,0.34364
0.92834,1.23207,0.36573,0.19932,0.24251,0.39575,0.36657
0.8457,0.56791,0.37573,0.2228,0.38433,0.52859,0.35961
1.11851,0.78841,0.33584,0.41611,0.40521,0.56453,0.37262
0.56745,0.42821,0.3349,0.62296,0.30184,0.53768,0.40675
0.64267,0.19655,0.36908,0.83102,0.49117,0.74025,0.40458
0.73275,0.04712,0.42892,1.07083,0.90588,0.71482,0.38919
1.70922,1.02276,0.57107,0.78611,0.6747,0.63871,0.38246
1.3997,1.66013,0.76412,1.05219,0.58998,0.53777,0.36614
1.16185,0.96457,0.65373,0.91153,0.49729,0.57447,0.34071
0.99448,0.93769,0.56802,0.70949,0.3907,0.45432,0.34299
0.71301,0.74695,0.45331,0.33334,0.3313,0.48104,0.33704
0.81792,0.89272,0.38436,0.41627,0.29475,0.36451,0.39183
0.69411,0.79686,0.42066,0.37508,0.34405,0.39266,0.40528
0.78596,0.80676,0.38301,0.3751,0.41041,0.44026,0.42724
0.66584,0.90531,0.53104,0.52693,0.37902,0.35787,0.55737
0.5859,0.96142,0.4211,0.39123,0.27554,0.35591,0.45982
0.98562,1.10645,0.54985,0.43365,0.30678,0.44248,0.51641
1.17489,1.03689,0.8939,0.49755,0.64424,0.56547,0.60219
1.1282,0.9596,0.73335,0.47805,0.72035,0.56378,0.50647
0.73119,0.81578,0.46734,0.48033,0.49437,0.66332,0.64192
0.56467,0.66467,0.37635,0.51316,0.45826,0.63179,0.74079
0.47311,0.73695,0.37347,0.48586,0.32973,0.62566,0.67242
0.57591,1.01292,0.35281,0.44824,0.42334,0.65965,0.55532
0.59476,1.16077,0.33731,0.34831,0.36197,0.64779,0.53691
0.70926,1.21856,0.32453,0.39392,0.32602,0.61617,0.55068
0.62587,1.11658,0.33124,0.47503,0.3483,0.82106,0.68925
0.66188,0.86657,0.34211,0.522,0.41253,1.17553,0.60814
0.65779,1.00901,0.39808,0.5683,0.82193,1.3828,0.6085
0.54113,0.69711,0.42162,0.55335,0.58395,1.17059,0.47385
0.76042,1.06516,0.45751,0.7785,0.55149,0.98694,0.55774
0.93693,0.9027,0.46968,0.63759,0.66214,0.764,0.72428
1.06004,0.86669,0.8031,0.50292,0.93702,0.54563,0.39916
0.984,0.74491,0.59096,0.3904,0.61918,0.57861,0.36081
1.20392,1.04218,0.66742,0.43244,0.50757,0.45342,0.35918
0.83849,1.13092,0.7267,0.58635,0.41882,0.43727,0.31787
0.71173,1.3014,0.6638,0.64013,0.35084,0.40827,0.3277
0.54932,1.32251,0.57651,0.59561,0.4047,0.32743,0.44854
0.41961,1.10834,0.49749,0.4591,0.40067,0.3255,0.46207
0.48794,1.12945,0.44267,0.35994,0.53499,0.33862,0.36604
0.91611,0.88939,0.59725,0.42271,0.54934,0.33921,0.38753
1.08512,0.96302,0.61094,0.45647,0.86853,0.46342,0.50016
1.57803,1.18466,0.71935,0.49382,0.88792,0.66528,0.54559
1.35893,1.22098,1.09114,0.69897,0.97415,0.59054,0.64667
0.79102,1.42087,0.91124,0.79184,0.88116,0.88725,0.64922
1.06122,1.23293,0.88781,0.69676,0.96019,0.99178,0.55445
0.74904,0.9979,0.50774,0.54102,0.60446,0.92601,0.45009
0.41647,0.7739,0.31236,0.37691,0.25175,0.64338,0.34757
0.33014,0.85364,0.27047,0.29222,0.20903,0.55432,0.36482
0.5283,1.17219,0.29619,0.30999,0.23295,0.55422,0.34749
0.71561,1.47227,0.36032,0.35219,0.34117,0.61323,0.33966
0.60576,1.48157,0.35637,0.42107,0.36046,0.64754,0.40748
0.69919,1.23493,0.34274,0.46698,0.38921,0.61727,0.50449
0.67506,0.98719,0.4046,0.52965,0.44557,0.80086,0.39688
0.62453,0.80091,0.48062,0.4681,0.40924,0.91614,0.36037
0.95909,0.70813,0.42544,0.42919,0.29438,0.80119,0.40993
0.57438,0.70257,0.41911,0.49157,0.44334,0.83328,0.60842
0.62502,1.07223,0.62821,0.69426,0.53034,0.94878,0.67187
0.59092,1.1903,0.3723,0.79809,0.42671,0.92132,0.74183
0.34318,1.18862,0.24778,0.52056,0.28323,0.52557,0.67795
0.34705,0.72617,0.26749,0.47444,0.17906,0.46932,0.75124
0.3338,0.7272,0.28136,0.5425,0.21674,0.4304,0.64704
0.36161,0.81735,0.32083,0.49677,0.26221,0.43138,0.54073
0.60072,0.74763,0.30292,0.51143,0.26288,0.44001,0.50909
0.73056,0.72872,0.33685,0.47142,0.34337,0.54265,0.42427
0.97407,0.74393,0.60677,0.69989,0.58723,1.15222,0.63409
2.832,1.42823,1.44712,1.64105,0.9216,0.77451,1.10787
3.34817,2.07591,2.314,1.62099,2.63464,0.85527,1.29469
1.47644,1.64723,1.57749,0.85758,1.81414,0.83612,1.21472
0.9664,1.11657,0.90328,0.55169,1.26403,1.00962,0.60482
0.63882,1.33541,0.42643,0.4981,0.70991,1.00034,0.32917
0.40315,0.2449,0.25061,0.38042,0.38513,0.83042,0.32671
0.49627,0.82798,0.30132,0.39509,0.25972,0.64099,0.37196
0.77181,0.47785,0.28788,0.42371,0.27564,0.57338,0.38983
0.69611,0.26682,0.29086,0.42746,0.35342,0.57197,0.38118
0.64147,0.04066,0.28663,0.47794,0.30171,0.49336,0.39854
0.57513,0.61733,0.32625,0.54909,0.33569,0.57672,0.40434
0.84999,0.54068,0.41739,0.77385,0.41311,0.803,0.54244
0.78639,0.63174,0.48054,0.92214,0.45502,0.95195,0.69983
0.44692,0.65538,0.41364,0.68223,0.3921,0.79857,0.65584
0.40786,0.65559,0.37964,0.61581,0.37284,0.81711,0.64723
0.39073,0.69838,0.3657,0.63531,0.42445,0.78376,0.66785
0.45435,0.62975,0.3321,0.55923,0.46422,0.77241,0.66311
0.35273,0.73926,0.28404,0.56721,0.31419,0.63626,0.57469
0.39047,0.74168,0.2832,0.47304,0.27481,0.52044,0.55207
0.46091,0.76929,0.27994,0.49053,0.24918,0.38913,0.51455
0.70225,0.71856,0.31485,0.58165,0.28899,0.43123,0.49239
0.92825,0.7532,0.34976,0.43345,0.35637,0.4369,0.42969
1.45035,0.74019,0.8093,0.43682,0.53523,0.51439,0.47311
2.45474,0.78668,0.89589,0.80176,0.87291,0.57548,0.67469
1.20219,1.37394,0.92815,0.79242,1.48712,1.30791,0.81093
1.80978,1.31726,1.46816,1.00981,1.31157,1.33773,0.77745
0.99063,1.56355,1.07187,1.0254,1.07113,0.93191,0.76049
0.53942,1.13163,0.30997,1.19925,0.95967,0.98493,1.01253
0.37127,0.73044,0.28586,0.67831,0.41466,0.66457,0.84686
0.43769,0.48795,0.24974,0.37967,0.28712,0.6378,0.47024
,0.12378,0.45848,0.3641,0.28269,0.64707,0.52781
,0.1765,0.46688,0.39617,0.64715,0.65956,0.517
0.67488,0.86308,0.4653,0.32614,0.40861,0.61944,0.57324
0.90425,0.7861,0.33049,0.4561,0.38876,0.60542,0.35936
1.00645,0.7305,0.36798,0.54848,0.44684,0.67328,0.38229
0.63789,0.65837,0.43642,0.7076,0.5595,0.85079,0.48707
1.01439,0.69507,0.54831,0.83245,0.65195,0.98395,0.54293
0.7658,0.72312,0.55511,0.73124,0.6089,1.03592,0.48121
0.65229,0.64688,0.47109,0.60371,0.41644,0.9522,0.51771
0.69314,0.67205,0.40008,0.58988,0.43502,0.83899,0.4464
0.5642,0.59469,0.3704,0.61779,0.34776,0.6688,0.4511
