,Puente_Aranda_CO_pmm
1005,0.53304
1006,0.47887
1007,0.42383
1008,0.26204
1009,0.25524
1010,0.2138
1011,0.25876
1012,0.32654
1013,1.07743
1014,1.71683
1015,1.34938
1016,1.06803
1017,0.4374
1018,0.38125
1019,0.49437
1020,0.55038
1021,0.58565
1022,0.849495
1023,0.60794
1024,0.68524
1025,0.77262
1026,0.95268
1027,1.05905
1028,0.87697
1029,0.89422
1030,1.00446
1031,0.97164
1032,0.93547
1033,0.59967
1034,0.58394
1035,0.70054
1036,0.72456
1037,1.57186
1038,2.37993
1039,2.18169
1040,2.2265
1041,1.21634
1042,0.7
1043,0.576
1044,0.4984
1045,0.47054
1046,0.4719
1047,0.48938
1048,0.57158
1049,0.77742
1050,0.95526
1051,0.64287
1052,0.58284
1053,0.6834
1054,0.75295
1055,0.57845
1056,0.60267
1057,0.3768
1058,0.31774
1059,0.31915
1060,0.37801
1061,0.73813
1062,1.24546
1063,0.94481
1064,1.19373
1065,1.27826
1066,0.93194
1067,0.5398
1068,0.55949
1069,0.54153
1070,0.54258
1071,0.52262
1072,0.53272
1073,0.73921
1074,0.88998
1075,0.91504
1076,1.06382
1077,0.86429
1078,0.98864
1079,0.9872
1080,0.79049
1081,0.5089
1082,0.4588
1083,0.48511
1084,0.46707
1085,0.89183
1086,1.3259
1087,1.51414
1088,1.4426
1089,0.90545
1090,0.55262
1091,0.61887
1092,0.84203
1093,0.72074
1094,0.7354
1095,0.67251
1096,0.60388
1097,0.88082
1098,1.25298
1099,0.95128
1100,0.81954
1101,0.85094
1102,1.19252
1103,0.95201
1104,0.47526
1105,0.58156
1106,0.37556
1107,0.34714
1108,0.40934
1109,1.04383
1110,1.34284
1111,2.0221
1112,1.38554
1113,0.85043
1114,0.67089
1115,0.617
1116,0.57188
1117,0.77043
1118,0.71869
1119,0.61474
1120,0.69967
1121,0.94725
1122,0.96805
1123,1.08204
1124,0.99124
1125,0.97042
1126,0.81061
1127,0.7108
1128,0.45131
1129,0.3544
1130,0.39102
1131,0.42113
1132,0.43699
1133,0.70706
1134,1.17429
1135,0.85367
1136,0.6496
1137,0.47522
1138,0.47887
1139,0.59112
1140,0.4838
1141,0.54726
1142,0.81996
1143,0.77834
1144,0.75965
1145,0.96609
1146,1.05508
1147,1.10522
1148,1.24069
1149,1.28853
1150,1.00175
1151,0.69276
1152,0.66314
1153,0.54273
1154,0.52051
1155,0.59505
1156,0.64429
1157,0.66957
1158,0.94346
1159,0.98004
1160,0.77951
1161,0.62558
1162,0.62817
1163,0.48693
1164,0.62409
1165,0.68227
1166,0.72804
1167,0.67675
1168,0.66498
1169,0.65658
1170,0.50064
1171,0.49962
1172,0.57103
1173,0.5741
1174,0.43525
1175,0.50508
1176,0.5795
1177,0.53145
1178,0.39952
1179,0.45827
1180,0.52703
1181,0.93075
1182,1.62018
1183,2.00595
1184,1.98935
1185,1.1705
1186,0.54148
1187,0.49292
1188,0.55534
1189,0.57512
1190,0.61052
1191,0.65602
1192,0.68485
1193,0.97214
1194,1.22344
1195,1.03993
1196,0.71449
1197,0.58624
1198,0.7229
1199,0.81874
1200,0.65575
1201,0.65944
1202,0.4714
1203,0.44356
1204,0.64354
1205,1.35837
1206,2.83945
1207,2.05064
1208,1.04045
1209,0.99803
1210,0.89662
1211,0.51838
1212,0.52565
1213,0.53176
1214,0.48803
1215,0.49508
1216,0.64236
1217,0.73241
1218,1.01351
1219,0.87646
1220,0.93103
1221,1.15831
1222,0.98801
1223,0.60448
1224,0.59447
1225,0.56058
1226,0.47881
1227,0.49979
1228,0.46332
1229,1.20772
1230,2.21888
1231,1.76975
1232,1.43021
1233,1.33486
1234,1.09542
1235,
1236,0.54606
1237,0.55041
1238,0.44284
1239,0.35796
1240,0.44861
1241,0.64835
1242,0.86291
1243,0.6951
1244,0.76835
1245,0.58575
1246,0.47218
1247,0.47442
1248,0.36279
1249,0.28788
1250,0.31607
1251,0.29798
1252,0.41491
1253,0.81537
1254,1.34522
1255,1.91159
1256,1.11766
1257,0.66097
1258,0.73755
1259,0.6292
1260,0.57714
1261,0.56169
1262,0.43832
1263,0.44868
1264,0.39677
1265,0.70546
1266,0.86499
1267,0.86331
1268,0.64013
1269,0.60306
1270,0.47107
1271,0.42806
1272,0.27588
1273,0.37588
1274,0.20589
1275,0.21534
1276,0.26146
1277,0.72269
1278,1.42647
1279,1.3101
1280,1.34547
1281,0.96393
1282,0.61645
1283,0.699
1284,0.81121
1285,0.46602
1286,0.55934
1287,0.52223
1288,0.57077
1289,0.63743
1290,1.2122
1291,0.98606
1292,0.97712
1293,0.83538
1294,0.91608
1295,0.63631
